gt,generated,psnr,ssim,lpips
10003_00_10s.ARW,test_10003_00_0.04s.png,26.469388832440014,0.71432,0.520171582698822
10003_00_10s.ARW,test_10003_00_0.1s.png,27.44091295711053,0.75554705,0.4765326976776123
10003_00_10s.ARW,test_10003_01_0.04s.png,26.508604134581386,0.71516186,0.5203630924224854
10003_00_10s.ARW,test_10003_01_0.1s.png,27.436734054627085,0.75473785,0.47850167751312256
10003_00_10s.ARW,test_10003_02_0.04s.png,26.73202105569168,0.7198801,0.5133479833602905
10003_00_10s.ARW,test_10003_02_0.1s.png,27.423345928410555,0.7547738,0.4774828255176544
10003_00_10s.ARW,test_10003_03_0.04s.png,26.410887396293884,0.71236545,0.5236316323280334
10003_00_10s.ARW,test_10003_03_0.1s.png,27.41291116095693,0.7539911,0.4785008728504181
10003_00_10s.ARW,test_10003_04_0.1s.png,27.410616130598598,0.75423175,0.478122740983963
10003_00_10s.ARW,test_10003_05_0.1s.png,27.436712272327497,0.7552249,0.4764527678489685
10003_00_10s.ARW,test_10003_06_0.1s.png,27.413987242246648,0.7539537,0.4783000946044922
10003_00_10s.ARW,test_10003_07_0.1s.png,27.448888474619476,0.753658,0.47924625873565674
10003_00_10s.ARW,test_10003_08_0.1s.png,27.425471769740835,0.7557848,0.4757857620716095
10003_00_10s.ARW,test_10003_09_0.1s.png,27.45012694405763,0.7553347,0.4772540032863617
10006_00_10s.ARW,test_10006_00_0.04s.png,29.437423601343575,0.8362684,0.4095970094203949
10006_00_10s.ARW,test_10006_00_0.1s.png,30.644637549467664,0.86391306,0.385777086019516
10006_00_10s.ARW,test_10006_01_0.04s.png,28.961941959659715,0.8307562,0.41510361433029175
10006_00_10s.ARW,test_10006_01_0.1s.png,30.58555160856724,0.8640892,0.3848568797111511
10006_00_10s.ARW,test_10006_02_0.1s.png,30.621147303948444,0.86455375,0.38528889417648315
10006_00_10s.ARW,test_10006_03_0.1s.png,30.60797411682782,0.86449355,0.3851853907108307
10006_00_10s.ARW,test_10006_04_0.1s.png,30.601391692393314,0.8642464,0.3847675025463104
10006_00_10s.ARW,test_10006_05_0.1s.png,30.57814039804208,0.8643021,0.38461244106292725
10006_00_10s.ARW,test_10006_06_0.1s.png,30.62731678880628,0.86356574,0.3878096342086792
10006_00_10s.ARW,test_10006_07_0.1s.png,30.68054166312395,0.86429673,0.386172354221344
10006_00_10s.ARW,test_10006_08_0.1s.png,30.717823690079666,0.8638174,0.3868272304534912
10006_00_10s.ARW,test_10006_09_0.1s.png,30.731817374197995,0.864597,0.38608744740486145
10011_00_10s.ARW,test_10011_00_0.04s.png,29.443481613510084,0.88157517,0.367290735244751
10011_00_10s.ARW,test_10011_00_0.1s.png,29.438578082435377,0.905397,0.2929553985595703
10011_00_10s.ARW,test_10011_01_0.04s.png,29.48170124328278,0.8811607,0.369093120098114
10011_00_10s.ARW,test_10011_01_0.1s.png,29.364411441253683,0.90494865,0.2918410897254944
10011_00_10s.ARW,test_10011_02_0.1s.png,29.427528598030058,0.90509653,0.29267892241477966
10011_00_10s.ARW,test_10011_03_0.1s.png,29.440996196365408,0.905204,0.2935318946838379
